actual_time,comp_level,event_key,key,match_number,post_result_time,predicted_time,set_number,time,winning_alliance,alliances.blue.dq_team_keys,alliances.blue.score,alliances.blue.surrogate_team_keys,alliances.blue.team_keys,alliances.red.dq_team_keys,alliances.red.score,alliances.red.surrogate_team_keys,alliances.red.team_keys,score_breakdown.blue.adjustPoints,score_breakdown.blue.autoTowerPoints,score_breakdown.blue.autoTowerRobot1,score_breakdown.blue.autoTowerRobot2,score_breakdown.blue.autoTowerRobot3,score_breakdown.blue.endGameTowerPoints,score_breakdown.blue.endGameTowerRobot1,score_breakdown.blue.endGameTowerRobot2,score_breakdown.blue.endGameTowerRobot3,score_breakdown.blue.energizedAchieved,score_breakdown.blue.foulPoints,score_breakdown.blue.g206Penalty,score_breakdown.blue.hubScore.autoCount,score_breakdown.blue.hubScore.autoPoints,score_breakdown.blue.hubScore.endgameCount,score_breakdown.blue.hubScore.endgamePoints,score_breakdown.blue.hubScore.shift1Count,score_breakdown.blue.hubScore.shift1Points,score_breakdown.blue.hubScore.shift2Count,score_breakdown.blue.hubScore.shift2Points,score_breakdown.blue.hubScore.shift3Count,score_breakdown.blue.hubScore.shift3Points,score_breakdown.blue.hubScore.shift4Count,score_breakdown.blue.hubScore.shift4Points,score_breakdown.blue.hubScore.teleopCount,score_breakdown.blue.hubScore.teleopPoints,score_breakdown.blue.hubScore.totalCount,score_breakdown.blue.hubScore.totalPoints,score_breakdown.blue.hubScore.transitionCount,score_breakdown.blue.hubScore.transitionPoints,score_breakdown.blue.hubScore.uncounted,score_breakdown.blue.majorFoulCount,score_breakdown.blue.minorFoulCount,score_breakdown.blue.penalties,score_breakdown.blue.rp,score_breakdown.blue.superchargedAchieved,score_breakdown.blue.totalAutoPoints,score_breakdown.blue.totalPoints,score_breakdown.blue.totalTeleopPoints,score_breakdown.blue.totalTowerPoints,score_breakdown.blue.traversalAchieved,score_breakdown.red.adjustPoints,score_breakdown.red.autoTowerPoints,score_breakdown.red.autoTowerRobot1,score_breakdown.red.autoTowerRobot2,score_breakdown.red.autoTowerRobot3,score_breakdown.red.endGameTowerPoints,score_breakdown.red.endGameTowerRobot1,score_breakdown.red.endGameTowerRobot2,score_breakdown.red.endGameTowerRobot3,score_breakdown.red.energizedAchieved,score_breakdown.red.foulPoints,score_breakdown.red.g206Penalty,score_breakdown.red.hubScore.autoCount,score_breakdown.red.hubScore.autoPoints,score_breakdown.red.hubScore.endgameCount,score_breakdown.red.hubScore.endgamePoints,score_breakdown.red.hubScore.shift1Count,score_breakdown.red.hubScore.shift1Points,score_breakdown.red.hubScore.shift2Count,score_breakdown.red.hubScore.shift2Points,score_breakdown.red.hubScore.shift3Count,score_breakdown.red.hubScore.shift3Points,score_breakdown.red.hubScore.shift4Count,score_breakdown.red.hubScore.shift4Points,score_breakdown.red.hubScore.teleopCount,score_breakdown.red.hubScore.teleopPoints,score_breakdown.red.hubScore.totalCount,score_breakdown.red.hubScore.totalPoints,score_breakdown.red.hubScore.transitionCount,score_breakdown.red.hubScore.transitionPoints,score_breakdown.red.hubScore.uncounted,score_breakdown.red.majorFoulCount,score_breakdown.red.minorFoulCount,score_breakdown.red.penalties,score_breakdown.red.rp,score_breakdown.red.superchargedAchieved,score_breakdown.red.totalAutoPoints,score_breakdown.red.totalPoints,score_breakdown.red.totalTeleopPoints,score_breakdown.red.totalTowerPoints,score_breakdown.red.traversalAchieved,videos_key,videos_type
1772904800,qm,2026mnwi,2026mnwi_qm75,75,1772904989,1772904838,1,1772904420,blue,,81,,frc4859,,53,,frc5339,0,0,None,None,None,0,None,None,None,False,0,False,0,0,28,28,15,15,0,0,28,28,0,0,81,81,81,81,10,10,0,0,1,None,3,False,0,81,81,0,False,0,0,None,None,None,0,None,None,None,False,5,False,14,14,1,1,0,0,29,29,0,0,3,3,34,34,48,48,1,1,0,0,0,None,0,False,14,53,34,0,False,ryFGzNBkcCI,youtube
1772904800,qm,2026mnwi,2026mnwi_qm75,75,1772904989,1772904838,1,1772904420,blue,,81,,frc4859,,53,,frc2220,0,0,None,None,None,0,None,None,None,False,0,False,0,0,28,28,15,15,0,0,28,28,0,0,81,81,81,81,10,10,0,0,1,None,3,False,0,81,81,0,False,0,0,None,None,None,0,None,None,None,False,5,False,14,14,1,1,0,0,29,29,0,0,3,3,34,34,48,48,1,1,0,0,0,None,0,False,14,53,34,0,False,ryFGzNBkcCI,youtube
1772904800,qm,2026mnwi,2026mnwi_qm75,75,1772904989,1772904838,1,1772904420,blue,,81,,frc2531,,53,,frc5822,0,0,None,None,None,0,None,None,None,False,0,False,0,0,28,28,15,15,0,0,28,28,0,0,81,81,81,81,10,10,0,0,1,None,3,False,0,81,81,0,False,0,0,None,None,None,0,None,None,None,False,5,False,14,14,1,1,0,0,29,29,0,0,3,3,34,34,48,48,1,1,0,0,0,None,0,False,14,53,34,0,False,ryFGzNBkcCI,youtube
1772904800,qm,2026mnwi,2026mnwi_qm75,75,1772904989,1772904838,1,1772904420,blue,,81,,frc2531,,53,,frc5339,0,0,None,None,None,0,None,None,None,False,0,False,0,0,28,28,15,15,0,0,28,28,0,0,81,81,81,81,10,10,0,0,1,None,3,False,0,81,81,0,False,0,0,None,None,None,0,None,None,None,False,5,False,14,14,1,1,0,0,29,29,0,0,3,3,34,34,48,48,1,1,0,0,0,None,0,False,14,53,34,0,False,ryFGzNBkcCI,youtube
1772904800,qm,2026mnwi,2026mnwi_qm75,75,1772904989,1772904838,1,1772904420,blue,,81,,frc2531,,53,,frc2220,0,0,None,None,None,0,None,None,None,False,0,False,0,0,28,28,15,15,0,0,28,28,0,0,81,81,81,81,10,10,0,0,1,None,3,False,0,81,81,0,False,0,0,None,None,None,0,None,None,None,False,5,False,14,14,1,1,0,0,29,29,0,0,3,3,34,34,48,48,1,1,0,0,0,None,0,False,14,53,34,0,False,ryFGzNBkcCI,youtube
1772904800,qm,2026mnwi,2026mnwi_qm75,75,1772904989,1772904838,1,1772904420,blue,,81,,frc2987,,53,,frc5822,0,0,None,None,None,0,None,None,None,False,0,False,0,0,28,28,15,15,0,0,28,28,0,0,81,81,81,81,10,10,0,0,1,None,3,False,0,81,81,0,False,0,0,None,None,None,0,None,None,None,False,5,False,14,14,1,1,0,0,29,29,0,0,3,3,34,34,48,48,1,1,0,0,0,None,0,False,14,53,34,0,False,ryFGzNBkcCI,youtube
1772904800,qm,2026mnwi,2026mnwi_qm75,75,1772904989,1772904838,1,1772904420,blue,,81,,frc2987,,53,,frc5339,0,0,None,None,None,0,None,None,None,False,0,False,0,0,28,28,15,15,0,0,28,28,0,0,81,81,81,81,10,10,0,0,1,None,3,False,0,81,81,0,False,0,0,None,None,None,0,None,None,None,False,5,False,14,14,1,1,0,0,29,29,0,0,3,3,34,34,48,48,1,1,0,0,0,None,0,False,14,53,34,0,False,ryFGzNBkcCI,youtube
1772904800,qm,2026mnwi,2026mnwi_qm75,75,1772904989,1772904838,1,1772904420,blue,,81,,frc2987,,53,,frc2220,0,0,None,None,None,0,None,None,None,False,0,False,0,0,28,28,15,15,0,0,28,28,0,0,81,81,81,81,10,10,0,0,1,None,3,False,0,81,81,0,False,0,0,None,None,None,0,None,None,None,False,5,False,14,14,1,1,0,0,29,29,0,0,3,3,34,34,48,48,1,1,0,0,0,None,0,False,14,53,34,0,False,ryFGzNBkcCI,youtube
1772898984,qm,2026mnwi,2026mnwi_qm63,63,1772899178,1772899181,1,1772898660,red,,292,,frc5914,,350,,frc4065,0,0,None,None,None,0,None,None,None,True,0,False,27,27,82,82,82,82,0,0,97,97,0,0,265,265,292,292,4,4,0,0,2,None,1,False,27,292,265,0,False,0,0,None,None,None,10,Level1,None,None,True,10,False,39,39,62,62,0,0,101,101,0,0,99,99,291,291,330,330,29,29,1,0,0,None,4,False,39,350,301,10,False,vEN0xBpD_oE,youtube
1772898984,qm,2026mnwi,2026mnwi_qm63,63,1772899178,1772899181,1,1772898660,red,,292,,frc5914,,350,,frc5576,0,0,None,None,None,0,None,None,None,True,0,False,27,27,82,82,82,82,0,0,97,97,0,0,265,265,292,292,4,4,0,0,2,None,1,False,27,292,265,0,False,0,0,None,None,None,10,Level1,None,None,True,10,False,39,39,62,62,0,0,101,101,0,0,99,99,291,291,330,330,29,29,1,0,0,None,4,False,39,350,301,10,False,vEN0xBpD_oE,youtube
